__source_file,instance,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,ablation,UB,runtime_sec,stop_reason
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,18.76165328174829,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,1,3,,,,,,,baseline,92,0.4086163640022278,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,1,3,,,,,,,baseline,96,0.0735097676515579,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,22.30958704650402,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,2,3,,,,,,,baseline,92,0.3373785093426704,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,2,3,,,,,,,baseline,96,0.060403399169445,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,2,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,19.00295690447092,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,2,3,,,,,,,baseline,92,0.4676230624318123,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,2,3,,,,,,,baseline,96,0.0852666050195694,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,2,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,21.681975185871124,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,3,3,,,,,,,baseline,92,0.3421498462557792,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,3,3,,,,,,,baseline,96,0.0615041330456733,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,3,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,19.088255055248737,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,3,3,,,,,,,baseline,92,0.4081154838204384,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,3,3,,,,,,,baseline,96,0.0742480084300041,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,3,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,23.137928061187267,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,4,3,,,,,,,baseline,92,0.3369253650307655,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,4,3,,,,,,,baseline,96,0.060839757323265,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,4,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,18.92248103767633,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,dsatur,4,3,,,,,,,baseline,92,0.4057177826762199,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,slo,4,3,,,,,,,baseline,96,0.072883240878582,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,DSJC250.9,iterlp2_full,4,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,full,96,22.864225961267948,time_limit
