instance,algo,UB_mean,UB_min,best_time_mean_sec,runs,runtime_mean_sec
myciel3,dsatur,4.0,4,0.00044879999995828257,1,0.00044879999995828257
myciel3,iterlp2_full,4.0,4,0.0,1,2.1456703379999453
myciel3,slo,4.0,4,0.00021820000029038056,1,0.00021820000029038056
myciel4,dsatur,5.0,5,0.0004681000000346103,1,0.0004681000000346103
myciel4,iterlp2_full,5.0,5,0.0,1,300.16667393199987
myciel4,slo,5.0,5,0.0003509999996822444,1,0.0003509999996822444
myciel5,dsatur,6.0,6,0.0017864999999801512,1,0.0017864999999801512
myciel5,iterlp2_full,6.0,6,0.0,1,300.3028456449997
myciel5,slo,6.0,6,0.0007120000000213622,1,0.0007120000000213622
myciel6,dsatur,7.0,7,0.008484400000270398,1,0.008484400000270398
myciel6,iterlp2_full,7.0,7,0.0,1,300.5218157070003
myciel6,slo,7.0,7,0.0021176999998715473,1,0.0021176999998715473
myciel7,dsatur,8.0,8,0.04239249900001596,1,0.04239249900001596
myciel7,iterlp2_full,8.0,8,0.0,1,302.0608118549999
myciel7,slo,8.0,8,0.0054570000002058805,1,0.0054570000002058805
DSJC1000.9,dsatur,299.0,299,37.49224593490362,1,37.49224593490362
DSJC1000.9,dsatur,299.0,299,36.31350678950548,1,36.31350678950548
DSJC250.9,dsatur,92.0,92,0.3410419002175331,1,0.3410419002175331
DSJC250.9,iterlp2_full,96.0,96,0.0,1,19.04565791785717
DSJC250.9,slo,96.0,96,0.06087405979633331,1,0.06087405979633331
DSJC250.9,dsatur,92.0,92,0.406611867249012,1,0.406611867249012
DSJC250.9,iterlp2_full,96.0,96,0.0,1,23.549715012311935
DSJC250.9,slo,96.0,96,0.0747336745262146,1,0.0747336745262146
DSJC250.9,dsatur,92.0,92,0.3531506732106209,1,0.3531506732106209
DSJC250.9,iterlp2_full,96.0,96,0.0,1,18.761653281748295
DSJC250.9,slo,96.0,96,0.06116466969251633,1,0.06116466969251633
DSJC250.9,dsatur,92.0,92,0.4086163640022278,1,0.4086163640022278
DSJC250.9,iterlp2_full,96.0,96,0.0,1,22.30958704650402
DSJC250.9,slo,96.0,96,0.07350976765155792,1,0.07350976765155792
DSJC250.9,dsatur,92.0,92,0.33737850934267044,1,0.33737850934267044
DSJC250.9,iterlp2_full,96.0,96,0.0,1,19.00295690447092
DSJC250.9,slo,96.0,96,0.06040339916944504,1,0.06040339916944504
DSJC250.9,dsatur,92.0,92,0.4676230624318123,1,0.4676230624318123
DSJC250.9,iterlp2_full,96.0,96,0.0,1,21.681975185871124
DSJC250.9,slo,96.0,96,0.0852666050195694,1,0.0852666050195694
DSJC250.9,dsatur,92.0,92,0.34214984625577927,1,0.34214984625577927
DSJC250.9,iterlp2_full,96.0,96,0.0,1,19.088255055248737
DSJC250.9,slo,96.0,96,0.06150413304567337,1,0.06150413304567337
DSJC250.9,dsatur,92.0,92,0.4081154838204384,1,0.4081154838204384
DSJC250.9,iterlp2_full,96.0,96,0.0,1,23.137928061187267
DSJC250.9,slo,96.0,96,0.07424800843000412,1,0.07424800843000412
DSJC250.9,dsatur,92.0,92,0.33692536503076553,1,0.33692536503076553
DSJC250.9,iterlp2_full,96.0,96,0.0,1,18.922481037676334
DSJC250.9,slo,96.0,96,0.060839757323265076,1,0.060839757323265076
DSJC250.9,dsatur,92.0,92,0.40571778267621994,1,0.40571778267621994
DSJC250.9,iterlp2_full,96.0,96,0.0,1,22.864225961267948
DSJC250.9,slo,96.0,96,0.072883240878582,1,0.072883240878582
DSJC500.9,dsatur,170.0,170,2.7571864277124405,1,2.7571864277124405
DSJC500.9,iterlp2_full,172.0,172,0.0,1,123.64879083633423
DSJC500.9,slo,172.0,172,0.26675619184970856,1,0.26675619184970856
DSJC500.9,dsatur,170.0,170,2.7574627324938774,1,2.7574627324938774
DSJC500.9,iterlp2_full,172.0,172,0.0,1,124.7509054839611
DSJC500.9,slo,172.0,172,0.26401984691619873,1,0.26401984691619873
DSJC500.9,dsatur,170.0,170,3.2881676331162453,1,3.2881676331162453
DSJC500.9,iterlp2_full,172.0,172,0.0,1,146.88438667356968
DSJC500.9,slo,172.0,172,0.32734909653663635,1,0.32734909653663635
DSJC500.9,dsatur,170.0,170,2.7702056020498276,1,2.7702056020498276
DSJC500.9,iterlp2_full,172.0,172,0.0,1,126.97751220315695
DSJC500.9,slo,172.0,172,0.26603056490421295,1,0.26603056490421295
DSJC500.9,dsatur,170.0,170,2.7737269774079323,1,2.7737269774079323
DSJC500.9,iterlp2_full,172.0,172,0.0,1,120.83871591836214
DSJC500.9,slo,172.0,172,0.2629033178091049,1,0.2629033178091049
DSJC500.9,dsatur,170.0,170,3.3315369561314583,1,3.3315369561314583
DSJC500.9,iterlp2_full,172.0,172,0.0,1,151.29439359158278
DSJC500.9,slo,172.0,172,0.3254336342215538,1,0.3254336342215538
DSJC500.9,dsatur,170.0,170,2.7894760742783546,1,2.7894760742783546
DSJC500.9,iterlp2_full,172.0,172,0.0,1,127.14984831959009
DSJC500.9,slo,172.0,172,0.2646538093686104,1,0.2646538093686104
DSJC500.9,dsatur,170.0,170,3.3065373450517654,1,3.3065373450517654
DSJC500.9,iterlp2_full,172.0,172,0.0,1,151.89382024109364
DSJC500.9,slo,172.0,172,0.32273808866739273,1,0.32273808866739273
DSJC250.9,dsatur,92.0,92,0.4029436782002449,5,0.4029436782002449
DSJC250.9,iterlp2_full,86.8,86,1099.413536787033,5,43622.61529939622
DSJC250.9,slo,96.0,96,0.07612838745117187,5,0.07612838745117187
fpsol2.i.1,dsatur,65.0,65,0.526358425617218,3,0.526358425617218
fpsol2.i.1,iterlp2_full,65.0,65,0.0,3,6132.220083450277
fpsol2.i.1,slo,65.0,65,0.027746528387069702,3,0.027746528387069702
inithx.i.1,dsatur,54.0,54,1.5158282419045765,3,1.5158282419045765
inithx.i.1,iterlp2_full,54.0,54,0.0,3,6768.406261203189
inithx.i.1,slo,54.0,54,0.04968692113955816,3,0.04968692113955816
myciel3,dsatur,4.0,4,0.00018138686815897623,3,0.00018138686815897623
myciel3,iterlp2_full,4.0,4,0.0,3,1.7753575121363003
myciel3,slo,4.0,4,0.00016224881013234457,3,0.00016224881013234457
myciel4,dsatur,5.0,5,0.0004640643795331319,3,0.0004640643795331319
myciel4,iterlp2_full,5.0,5,0.0,3,10.23876866698265
myciel4,slo,5.0,5,0.000301914910475413,3,0.000301914910475413
myciel5,dsatur,6.0,6,0.0017492547631263733,3,0.0017492547631263733
myciel5,iterlp2_full,6.0,6,0.0,3,10.372331003348032
myciel5,slo,6.0,6,0.0007926250497500101,3,0.0007926250497500101
DSJC1000.9,dsatur,299.0,299,54.31706617772579,1,54.31706617772579
DSJC1000.9,iterlp2_full,316.0,316,0.0,1,1127.5901445299387
DSJC1000.9,slo,316.0,316,1.5692853704094887,1,1.5692853704094887
DSJC250.9,dsatur,92.0,92,0.40747933089733124,1,0.40747933089733124
DSJC250.9,iterlp2_full,96.0,96,0.0,1,22.3386242762208
DSJC250.9,slo,96.0,96,0.07469450682401657,1,0.07469450682401657
DSJC250.9,dsatur,92.0,92,0.40649591386318207,1,0.40649591386318207
DSJC250.9,iterlp2_full,96.0,96,0.0,1,21.887541957199574
DSJC250.9,slo,96.0,96,0.0761527270078659,1,0.0761527270078659
DSJC250.9,dsatur,92.0,92,0.7141140922904015,1,0.7141140922904015
DSJC250.9,iterlp2_full,96.0,96,0.0,1,38.75908762961626
DSJC250.9,slo,96.0,96,0.13025487214326859,1,0.13025487214326859
DSJC250.9,dsatur,92.0,92,0.9095845445990562,1,0.9095845445990562
DSJC250.9,iterlp2_full,96.0,96,0.0,1,46.026148445904255
DSJC250.9,slo,96.0,96,0.15427608042955399,1,0.15427608042955399
DSJC250.9,dsatur,92.0,92,0.8317125514149666,1,0.8317125514149666
DSJC250.9,iterlp2_full,96.0,96,0.0,1,44.017826430499554
DSJC250.9,slo,96.0,96,0.1516709327697754,1,0.1516709327697754
DSJC250.9,dsatur,92.0,92,0.4001375064253807,1,0.4001375064253807
DSJC250.9,iterlp2_full,96.0,96,0.0,1,21.931693255901337
DSJC250.9,slo,96.0,96,0.07359455525875092,1,0.07359455525875092
DSJC250.9,dsatur,92.0,92,0.4016086235642433,1,0.4016086235642433
DSJC250.9,iterlp2_full,96.0,96,0.0,1,21.925106063485146
DSJC250.9,slo,96.0,96,0.0732748731970787,1,0.0732748731970787
DSJC250.9,dsatur,92.0,92,0.9571335837244987,1,0.9571335837244987
DSJC250.9,iterlp2_full,96.0,96,0.0,1,48.99196898937225
DSJC250.9,slo,96.0,96,0.1769111007452011,1,0.1769111007452011
DSJC250.9,dsatur,92.0,92,0.7190990298986435,1,0.7190990298986435
DSJC250.9,iterlp2_full,96.0,96,0.0,1,47.67212025821209
DSJC250.9,slo,96.0,96,0.13703380525112152,1,0.13703380525112152
DSJC250.9,dsatur,92.0,92,0.7048228457570076,1,0.7048228457570076
DSJC250.9,iterlp2_full,96.0,96,0.0,1,47.41985308378935
DSJC250.9,slo,96.0,96,0.13220839202404022,1,0.13220839202404022
DSJC250.9,dsatur,92.0,92,0.4115478917956352,1,0.4115478917956352
DSJC250.9,iterlp2_full,96.0,96,0.0,1,22.107715293765068
DSJC250.9,slo,96.0,96,0.07464596629142761,1,0.07464596629142761
DSJC250.9,dsatur,92.0,92,0.4682327210903168,1,0.4682327210903168
DSJC250.9,iterlp2_full,96.0,96,0.0,1,22.405922047793865
DSJC250.9,slo,96.0,96,0.08499497175216675,1,0.08499497175216675
DSJC250.9,dsatur,92.0,92,0.7275510504841805,1,0.7275510504841805
