instance,algo,time_limit_sec,ablation,UB_mean,UB_min,UB_std,best_time_mean_sec,best_time_std_sec,feasible_rate,runs,runtime_mean_sec,runtime_std_sec
myciel5,iterlp2_full,10,full,6.0,6,0.0,0.0,0.0,1.0,6,10.372331003348032,0.17054563689864843
myciel5,iterlp2_full,300,full,6.0,6,0.0,0.0,0.0,1.0,2,300.3028456449997,0.0
myciel5,slo,5,baseline,6.0,6,0.0,0.0010525807738303334,1.8544174808811165e-05,1.0,3,0.0010525807738303334,1.8544174808811165e-05
myciel5,slo,10,baseline,6.0,6,0.0,0.0007926250497499667,1.60489675192988e-05,1.0,6,0.0007926250497499667,1.60489675192988e-05
myciel5,slo,300,baseline,6.0,6,0.0,0.0007120000000213,0.0,1.0,2,0.0007120000000213,0.0
myciel6,dsatur,300,baseline,7.0,7,0.0,0.0084844000002703,0.0,1.0,2,0.0084844000002703,0.0
myciel6,iterlp2_full,300,full,7.0,7,0.0,0.0,0.0,1.0,2,300.5218157070003,0.0
myciel6,slo,300,baseline,7.0,7,0.0,0.0021176999998715,0.0,1.0,2,0.0021176999998715,0.0
myciel7,dsatur,300,baseline,8.0,8,0.0,0.0423924990000159,0.0,1.0,2,0.0423924990000159,0.0
myciel7,iterlp2_full,300,full,8.0,8,0.0,0.0,0.0,1.0,2,302.0608118549999,0.0
myciel7,slo,300,baseline,8.0,8,0.0,0.0054570000002058,0.0,1.0,2,0.0054570000002058,0.0
