instance,algo,runs,UB_min,UB_mean,runtime_mean_sec,best_time_mean_sec
myciel3,dsatur,1,4,4.0,0.00046328455209732056,0.00046328455209732056
myciel3,iterlp2_full,1,4,4.0,0.05961530655622482,0.0
myciel3,slo,1,4,4.0,0.0002133101224899292,0.0002133101224899292
myciel4,dsatur,1,5,5.0,0.0005574077367782593,0.0005574077367782593
myciel4,iterlp2_full,1,5,5.0,5.000799775123596,0.0
myciel4,slo,1,5,5.0,0.0004092305898666382,0.0004092305898666382
myciel5,dsatur,1,6,6.0,0.0022803619503974915,0.0022803619503974915
myciel5,iterlp2_full,1,6,6.0,5.018531605601311,0.0
myciel5,slo,1,6,6.0,0.0010386109352111816,0.0010386109352111816
