instance,algo,runs,UB_min,UB_mean,runtime_mean_sec,best_time_mean_sec
myciel3,dsatur,1,4,4.0,0.0003912299871444702,0.0003912299871444702
myciel3,iterlp2_full,1,4,4.0,0.06115560233592987,0.0
myciel3,slo,1,4,4.0,0.000241108238697052,0.000241108238697052
myciel4,dsatur,1,5,5.0,0.0005530416965484619,0.0005530416965484619
myciel4,iterlp2_full,1,5,5.0,5.01686068624258,0.0
myciel4,slo,1,5,5.0,0.0004099830985069275,0.0004099830985069275
myciel5,dsatur,1,6,6.0,0.0022761523723602295,0.0022761523723602295
myciel5,iterlp2_full,1,6,6.0,5.0146296843886375,0.0
myciel5,slo,1,6,6.0,0.0010311678051948547,0.0010311678051948547
