instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,dsatur,0,5,,,,,,,2,4,2,True,0,0.00046328455209732056,0,baseline,0.00046328455209732056,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,slo,0,5,,,,,,,2,4,2,True,0,0.0002133101224899292,0,baseline,0.0002133101224899292,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,iterlp2_full,0,5,smallest_last,prefix_shrink+rounded_support,0.25,5,1,1e-06,2,4,2,True,0,0.05961530655622482,9,stalled_at_K_eq_ceil_zLP,0.0,0,full
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,dsatur,0,5,,,,,,,2,5,3,True,0,0.0005574077367782593,0,baseline,0.0005574077367782593,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,slo,0,5,,,,,,,2,5,3,True,0,0.0004092305898666382,0,baseline,0.0004092305898666382,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,iterlp2_full,0,5,smallest_last,prefix_shrink+rounded_support,0.25,5,1,1e-06,2,5,3,True,0,5.000799775123596,287,time_limit,0.0,0,full
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,dsatur,0,5,,,,,,,2,6,4,True,0,0.0022803619503974915,0,baseline,0.0022803619503974915,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,slo,0,5,,,,,,,2,6,4,True,0,0.0010386109352111816,0,baseline,0.0010386109352111816,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,iterlp2_full,0,5,smallest_last,prefix_shrink+rounded_support,0.25,5,1,1e-06,2,6,4,True,0,5.018531605601311,94,time_limit,0.0,0,full
