instance,algo,runs,UB_min,UB_mean,runtime_mean_sec,best_time_mean_sec
myciel3,dsatur,1,4,4.0,0.00043144822120666504,0.00043144822120666504
myciel3,iterlp2_full,1,4,4.0,1.7656408473849297,0.0
myciel3,slo,1,4,4.0,0.0002257898449897766,0.0002257898449897766
myciel4,dsatur,1,5,5.0,0.0006969422101974487,0.0006969422101974487
myciel4,iterlp2_full,1,5,5.0,5.197818785905838,0.0
myciel4,slo,1,5,5.0,0.00042118877172470093,0.00042118877172470093
myciel5,dsatur,1,6,6.0,0.002398289740085602,0.002398289740085602
myciel5,iterlp2_full,1,6,6.0,5.169135570526123,0.0
myciel5,slo,1,6,6.0,0.0010632872581481934,0.0010632872581481934
